Year;Length;Title;Subject;Main Actor;Main Actress;Director;Popularity;Awards
1991;101;Keeper of the Flame;Drama;;Tracy, Spencer;;76;No
1991;92;Spencer Tracy Legacy, The;Comedy;;Tracy, Spencer;;44;No
1991;;John Wayne Collection, Red River, The;War;;Wayne, John;;49;No
1991;;John Wayne Four Pack;Western;;Wayne, John;;58;No
1991;;John Wayne Western Greats, Rio Bravo;Western;;Wayne, John;;22;No
1991;56;King of the Pecos;Western;;Wayne, John;;78;No
1991;52;Lawless Frontier, The;Western;;Wayne, John;;35;No
1991;56;Lawless Nineties, The;Western;;Wayne, John;;3;No
1991;54;Neath the Arizona Skies;Western;;Wayne, John;;28;No
1991;53;Randy Rides Alone;Western;;Wayne, John;;75;No
1991;52;Riders of Destiny;Western;;Wayne, John;;30;No
1991;65;Robin Williams;Comedy;;Williams, Robin;;4;No
