Quartiers;Sites;Adresse;Type;Activités (nombre);Nature;L x l x h;Eclairage;Arrosage;Vest joueurs (Arbitres);Sanitaires;Douches;Capacité sécurité;Tribunes;Club House;Catégorie;Date;Acces Hand;Toilette Hand
5.3;Parc des Sports Synthétique n°4 football;Allées Gabriel Biénes;Terrain;Football à 11;Synthéthique;105X68;oui/250;;4+2;;;;;;;2003;O;O
5.3;Empalot;rue des Pélicans;Boulodrome;;;;oui;;;oui;;;;;;;O;N
5.3;Empalot Daste Recollets;place André Daste;Boulodrome;;;;oui;;;;;;;;;;O;N
5.3;Parc des Sports Pelouse 2 Pro;Allées Gabriel Biénes;Terrain;Football à 11;Gazon;105X68;;oui;4+2;;;;;;;;O;O
5.3;Aviron Toulousain parc des sports;Allées Ferdinand Jourdan;Base nautique;Aviron;;;;;;;;;;;;;O;O
5.3;Parc des Sports Synthétique n°3 football;Allées Gabriel Biénes;Terrain;Football à 11;Synthéthique;105X68;oui/250;;4+2;;;;;;E5;2003;O;O
5.3;Parc des Sports Synthétique n°5 Brice Taton;Allées Gabriel Biénes;Terrain;Football à 11;Synthéthique;105X68;oui/250;;4+2;;;;;;;;O;O
5.3;Nakache Piscine;7 Allées Gabriel Biènes;Piscine;Plongée, aquagym, scolaires, loisirs;;25 m + 15,95 m;;;;;;;;;;;N;N
5.3;Parc des sports salle praticable 1er ét;7 Allée Gabriel Biénès;Gymnase;Gymnastique praticable;;15.97 x 14.58 x 4.42;;;;;;58 personnes;;;4ème;;O;N
5.3;Daste;29 Rue de Toulon;Plateau multisports extérieur;mini Basket (3), Football, Handball(1), Piste 100 m;;;;;;;;;;;;;O;N
5.3;Empalot Mail;rue de Menton;Boulodrome;;;;oui;;;;;;;;;;O;N
5.3;Parc des Sports Pelouse 1 CFA;Allées Gabriel Biénes;Terrain;Football à 11;Gazon;105X68;oui/400;oui;4+2;;;;300;oui;E3;2003;O;O
5.3;Parc des Sports Synthétique Foot à 7 et 5;7 Allées Gabriel Biènes;Terrain;Football à 7 et à 5, mini Basket (2),Piste 206.49 m, saut, lancer.;Synthétique;;;;;;;;;;;;O;N
5.3;Parc des sports salle agrés RDC;7 Allée Gabriel Biénès;Gymnase;Gymnastique agrés;;24.5 x 15.95 x 7.9;;;2;2;2ind / 2 coll;96 personnes;;;5ème;;O;N
5.3;Parc des Sports Pelouse Gardiens;Allées Gabriel Biénes;Terrain;Football à 7;Gazon;105X68;;;4+2;;;;;;;;O;O
5.3;Corbarrieu pelouse Rugby honneur;2 Avenue de Lattre de Tassigny;Terrain;Rugby;Gazon;120x70;oui;oui;2+6;;;;;oui;;;O;O
5.3;Canoë;Chemin de la loge;Base nautique;Canoë-Kayak;;;;;;;;;;;;;O;N
5.3;Pont Garigliano basket;7 allées Gabriel Biénès;Plateau multisports extérieur;Basket (7);Enrobé;;;;;;;;;;;;O;N
5.3;Grand Rond;Allée Frédéric Mistral;Boulodrome;;;;oui;;;oui;;;;;;;O;N
5.3;Stadium;Allées Gabriel Biénes;Terrain;Football et Rugby;Gazon;105X68;oui/E1;oui;2+1;;;;35 775;oui;A;2004;O;O
5.3;Piscine sportive Castex;3 Allées Gabriel Biènes;Piscine;Natation;;50 m;;;;;;;;;;;O;N
5.3;Daste gymnase;29 Rue de Toulon;Gymnase;Basket (1), Volley (1), Handball (1);;21 x 12 x 5.2;;;2;;;;;;4ème;;O;N
5.3;Empalot Poudrerie;Rue des Goelands;City-Stade;Basket(1),Hand(1), football;Enrobé;;;;;;;;;;;;O;N
5.3;Parc des Sports pelote basque;7 Allées Gabriel Biènes;Fronton;Pelote;;;;;;;;;;;;;O;N
5.3;Parc des sports salle agrés 1er ét;7 Allée Gabriel Biénès;Gymnase;Gymnastique poutre;;15.97 x 9.65 x 4.42;;;1;4;4 individuelle;38 personnes;;;4ème;;O;N
5.3;Parc des Sports Tennis;7 Allées Gabriel Biènes;Tennis;Tennis, Tennis de table (4);;;;;;;;;;;;;O;O
5.3;Parc des Sports terrain sportif d'accès libre synthétique 1 et 2;7 Allées Gabriel Biènes;City-Stade;City - stade (2);;;;;;;;;;;;;O;N
5.3;Corbarrieu Synthétique football;2 Avenue de Lattre de Tassigny;Terrain;Football 11 et 7;Synthéthique;105x65.5;oui;oui;2+6;;;;900;;;;O;O
5.3;Parc des Sports terrain sportif d'accès libre Beach Volley / Soccer;7 Allées Gabriel Biènes;Terrain sable;Beach-soccer, beach Volley (3);;;;;;;;;;;;;O;N
5.3;Roger Pradier piscine;46 Rue des Saules;Piscine;;;25 m;;;;;;;;;;;O;N
6.1;Ancely;7 Allées des Causses;Piscine;Loisirs;;25 m + 12,5 m;;;;;;;;;;;N;N
6.1;Saint Martin du Touch;Chemin de Tournefeuille;Gymnase;Basket (1), Volley (1) Badmington (4);;32 x 20.50;;;4 + (1);7;2 ind, 2 coll;167 personnes;;;5ème;;O;N
6.2;Les Pradettes gymnase;6 Rue Ferdinand de Lesseps;Gymnase;Basket (1), Mini- Basket (1), Volley (1), Badmington (4), Tennis (1);;36 X 21.7 X 7;;;8;4;2 ind, 2 coll;351 personnes;40;;;;N;N
6.2;La Ramée gymnase;66 Chemin de Larramet;Gymnase;Basket (1), Volley (1), Badmington (3), Roller;;42 x 22 x 6.00;;;;5;4 ind, 2 coll;?;380;;3ème;;N;N
6.2;Lardenne;Place Sauvegrain;Boulodrome;;;;oui;;;Oui;;;;oui;;;O;N
6.2;Marcel Cerdan gymnase;7 Chemin de la Cépiére;Gymnase;Basket (1), Mini- Basket (2), Volley (1), Handball (1) , badmington (3), Tennis (1);;40 x 25 x 8;;;4;4;2 ind, 2 coll;200 personnes;175;;3ème;;O;O
6.2;Fronde;Chemin de la Fronde;Boulodrome;;;;oui;;;;;;;;;;O;N
