Quartiers;Sites;Adresse;Type;Activités (nombre);Nature;L x l x h;Eclairage;Arrosage;Vest joueurs (Arbitres);Sanitaires;Douches;Capacité sécurité;Tribunes;Club House;Catégorie;Date;Acces Hand;Toilette Hand
4.2;Argoulets Synthétique Football Américain;Rue Louis Plana;Terrain;Football 11/ américain;Synthéthique;110X50;oui;;2+4;;;;;;;;O;N
4.2;Argoulets pelouse Rugby 1;29 Rue de Rabastens;Terrain;Rugby / Football à 7;Gazon;116x66;oui;oui;;;;;;;;;O;N
4.2;Soupetard;44 rue Louis Plana;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.2;Complexe sportif CEAT dojo;8 Rue d'Oran;Dojo;Combat;;;;;2;;;19 personnes;;;;;O;N
4.2;Complexe Sportif CEAT pelouse Football;8 Rue d'Oran;Terrain;Football 11et 7;Gazon;100x68;oui;oui;;;;;;;;;O;N
4.2;Acacia;20 Rue de l'Obélisque;Plateau multisports extérieur;mini Basket (2), Handball(2);Synthétique;;;;;;;;;;;;N;N
4.2;Argoulets pelouse Football n°3;29 Rue de Rabastens;Terrain;Football 11et 7;Gazon;100x66;oui/50%;oui;;;;;;;;;O;N
4.2;Jolimont;rue Képler;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.2;Salonique;57 av de la Gloire;Boulodrome;;;;;;;;;;;oui;;;O;N
4.2;Argoulets Pierre Cahuzac;29 Rue de Rabastens;Terrain;Football / Rugby;Gazon;105x68;oui;oui;4+2;;;;396;oui;;;O;N
4.2;Argoulets Baseball;29 Rue de Rabastens;Terrain;Baseball;Gazon;;oui;;;;;;;;;;O;N
4.2;Opac;Impasse Soupetard;Plateau multisports extérieur;Basket, Handball, Volley;Enrobé;;;;;;;;;;;;O;N
4.2;Argoulets;30 Rue de Rabastens;Boulodrome;;;;non;;;;;;;Non;;;N;N
4.2;Argoulets pelouse Football n°1;29 Rue de Rabastens;Terrain;Football 11et 7;Gazon;100x66;oui;oui;0+2;;;;;;;;O;N
4.2;Complexe sportif CEAT;8 Rue d'Oran;Plateau multisports extérieur;Basket, Handball, piste 400 m;;;;;;;;;;;;;O;N
4.2;Carbonne;8 Rue Gongous;Boulodrome;;;;oui;;;;;;;oui;;;O;N
4.2;Argoulets Stabilisé Football;29 Rue de Rabastens;Terrain;Football / hockey;Stabilisé;100x64;oui;oui;;;;;;;;;O;N
4.2;Képler;Rue Jean Montariol;City stade;Basket 1, Handball 1;Enrobé;;;;;;;;;;;;N;N
4.3;Complexe de l'Hers plateau sportif;6 Bis Rue Claudius Rougenet;Plateau multisports extérieur;mini Basket(2), Handball(1);Enrobé;;;;;;;;;;;;O;N
4.3;Salle d'Armes Louis Julien;6 Bis Rue Claudius Rougenet;Salle;Escrime;;;;;;;;;;;;;;
4.3;ZAC de l'Hers Synthétique football;8 Rue Claudius Rougenet;Terrain;Football 11et 7;synthétique;105x60;oui;oui;4+1;;oui;;;;;;O;N
4.3;Sergent Vigné pelouse football;22 Rue de Lille;Terrain;Football 11 et 7;;98x66;oui;;1+2;;;;;oui;5;1995;O;N
4.3;Château de l'hers Petit Gymnase;14 Chemin de Limayrac;Gymnase;Mini Basket( 1), Volley (1), Roller;;20 x 11.5 x 6.62;;;1;2;2 individuelle;180 personnes;;;5ème;;O;N
4.3;Complexe sportif de l'Hers pelouse Rugby synthétique;6 Rue Claudius Rougenet;Terrain;Rugby, Football à 11;Synthétique;100x65;oui;oui;;;oui;;;oui;;;O;O
4.3;Grande Plaine;10 Avenue Jean Gonord;bi-cross;;;;;;;;;;;;;;O;N
4.3;Grande Plaine;10 Avenue Jean Gonord;Skate-Park;;;;;;;;;;;;;;O;N
4.3;Grande Plaine Stabilisé football;10 Avenue Jean Gonord;Terrain;Football 11 et 7;Stabilisé;100x59;oui;oui;;;;;;;;;N;N
4.3;Château de l'hers Grand Gymnase;13 Chemin de Limayrac;Gymnase;Basket (1), Volley (1), Handball (1), pelote;;30 x 24.10 x 9;;;2;2;;720 personnes;;;5ème;;O;N
4.3;ZAC de l'Hers Stabilisé football à7;8 Rue Claudius Rougenet;Terrain;Football  7;Stabilisé;60x45;oui;;;;;;;;;;O;N
4.3;Château de l'Hers;13 Chemin de Limayrac;Plateau multisports extérieur;Basket(3), Handball(1), piste 250 m,sautoir hauteur(1);;;;;;;;;;;;;O;N
4.3;Grande Plaine pelouse Football;10 Avenue Jean Gonord;Terrain;Football 11 et 7;Gazon;105x68;oui;oui;2+4;;;;;;C;1997;N;N
4.3;Château de l'hers pelouse Football;13 Chemin de Limayrac;Terrain;Football 11et 7;Gazon;;;;;;;;;;;;O;N
4.3;Stade Alain Coulon;8 Rue Claudius Rougenet;Terrain;Rugby;Gazon;100x65;;oui;4+2;;oui;;320;oui;;;O;O
5.1;Guillaumet pelouse football;30 Chemin Bitet;Terrain;Football à 11 et 7;Gazon;;;;;;;;;;;;O;N
5.1;Guillaumet;30 Chemin Bitet;Plateau multisports extérieur;Basket, Handball, Football;;;;;;;;;;;;;O;N
5.1;Struxiano pelouse Rugby;113 Avenue de Lespinet;Terrain;Rugby;Gazon;100x60;oui;oui;;;;;;oui;;;O;N
5.1;Ribaute pelouse Rugby;Chemin de ribaute;Terrain;Rugby;Gazon;;;;;;;;;;;;O;N
